id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
1,38,Female,99342,90,3,24,Groceries,113.53
2,21,Female,78852,60,2,42,Sports,41.93
3,60,Female,126573,30,2,28,Clothing,424.36
5,65,Female,140621,21,3,25,Electronics,347.08
8,43,Male,108115,94,9,27,Groceries,734.56
9,53,Male,34424,29,6,7,Sports,951.71
10,55,Female,45839,55,7,2,Electronics,821.18
13,29,Female,87461,81,3,27,Home & Garden,101.07
15,33,Male,112260,17,5,8,Home & Garden,915.89
16,53,Male,129284,17,6,26,Clothing,225.4
17,57,Male,102535,29,5,13,Clothing,378.47
18,22,Male,41849,22,1,31,Sports,844.08
19,37,Male,95491,90,6,21,Home & Garden,454.83
20,31,Male,97103,70,3,17,Groceries,61.3
21,19,Female,82519,13,4,4,Home & Garden,742.39
22,22,Male,49077,74,10,47,Home & Garden,799.31
25,69,Female,36140,78,5,39,Sports,508.86
27,54,Male,35394,10,9,4,Groceries,124.29
28,30,Female,50680,19,7,27,Sports,515.88
29,18,Female,70721,78,7,1,Home & Garden,191.9
30,23,Male,104106,30,4,20,Electronics,950.56
32,60,Female,45733,69,2,18,Electronics,197.29
33,29,Male,71951,2,6,47,Electronics,91.94
36,30,Female,73464,37,1,6,Clothing,532.51
37,47,Male,108074,78,4,38,Electronics,128.2
39,31,Female,75392,43,4,29,Sports,88.44
40,22,Male,107057,14,5,41,Home & Garden,98.86
41,23,Male,70723,31,1,48,Home & Garden,713.33
42,52,Male,115529,70,2,34,Clothing,192.66
43,35,Male,72179,6,6,45,Home & Garden,165.18
45,50,Male,42404,45,4,31,Home & Garden,753.6
47,56,Male,129005,40,6,8,Electronics,355.34
48,48,Male,76317,94,9,3,Electronics,189.28
50,68,Female,146519,96,2,18,Groceries,673.79
51,61,Female,61290,83,9,35,Clothing,110.32
52,24,Female,96082,83,4,36,Sports,589.35
54,33,Female,45136,84,9,38,Home & Garden,332.34
55,56,Female,85476,55,2,41,Sports,774.5
58,49,Female,112198,48,5,24,Sports,843.87
59,43,Female,81595,12,7,1,Electronics,806.26
60,21,Female,139387,1,5,7,Clothing,399.58
61,23,Male,69133,14,6,7,Groceries,224.86
63,49,Female,79992,49,8,6,Sports,636.65
64,50,Female,85111,31,1,19,Electronics,319.05
66,32,Male,100270,69,3,29,Home & Garden,686.05
67,36,Female,127346,75,5,7,Electronics,335.98
68,43,Female,87807,52,9,41,Clothing,95.08
